Common Polyatomic Ions,Chemical Formula
Tetrahydroxyborate,B(OH)−4
Acetylide,C2−2
Ethoxideor ethanolate,C2H5O−
Acetateor ethanoate,CH3COO− or C2H3O−2
Benzoate,C6H5COO− or C7H5O−2
Citrate,C6H5O3−7
Carbonate,CO2−3
Oxalate,C2O2−4
Cyanide,CN−
Chromate,CrO2−4
Dichromate,Cr2O2−7
Bicarbonateor hydrogencarbonate,HCO−3
Hydrogen phosphate,HPO2−4
Dihydrogen phosphate,H2PO−4
Hydrogen sulfateor bisulfate,HSO−4
Manganate,MnO2−4
Permanganate,MnO−4
Azanideor amide,NH−2
Peroxide,O2−2
Hydroxide,OH−
Bisulfide,SH−
Thiocyanate,SCN−
Silicate,SiO2−4
Thiosulfate,S2O2−3
Ammonium,NH+4